1,2,3,4,5,6,7,8,9,10,11,12
7.2,6.1,9.5,9.3,10,12.15,11.8,10.7,5.7,9.2,8.1,7.6
7.1,5.1,7.5,8.6,10.1,10.3,11.6,8.5,8.2,9.2,8,7.1
7.3,5.1,7.8,9.3,9.2,9.45,12.3,11.8,8.1,8.4,7.1,7.6
7.4,5.2,8.2,10.7,8.7,9.5,11.85,10.6,8.2,9.4,6.1,8.2
8.1,6.5,8.5,11.1,9.1,10.05,11.9,10.3,8.6,11.9,7.2,9.2
8.7,5.9,7.9,10.6,10.1,11.3,11.9,12.4,9.6,12.2,9.7,8.4
10,7.1,9.9,12.4,9.9,10.15,13.45,12.5,12.1,12.4,11.7,9.5
10.2,9.4,10.9,11,8.1,9.35,9.15,9.7,8.6,13.2,11.1,12.5
8.4,5.8,6.3,6.9,5.1,5.6,5.75,7,7.2,8.6,6.6,9
4,1.8,1.5,2.3,0.5,2.15,2.4,2.9,3.9,3.1,2.6,4.6
2.5,0.3,0,-0.4,-1.3,-0.65,-0.75,-2.6,-1.6,0.1,-0.1,2.6
1.4,-1.4,-1.3,-2.7,-3.8,-3.8,-3.55,-4.5,-4,-3,-1.8,0.8
0.7,-1.4,-1.2,-4.2,-4.4,-4.8,-5.35,-5.4,-5.5,-5,-2.1,-0.3
0.1,-2.3,-1.8,-4.9,-5.7,-7,-6.7,-7.5,-7.2,-6.4,-2.8,-0.6
0.6,-1.7,-1.5,-5.6,-6.1,-7.6,-7.9,-5.8,-8.3,-6.5,-2.7,0
0.8,-2,-2.2,-5.3,-6.5,-6.7,-8.15,-5,-8,-7.2,-2.2,1.5
1.9,-1.3,-1.7,-4.2,-5.7,-6.2,-7.55,-6.7,-7.5,-6.4,-0.3,3
5,1.9,0.5,-2.6,-2.7,-4.55,-5.4,-5.5,-6.4,-3.8,3.9,5.8
5.8,4.6,3.3,0,-1.2,-2.2,-2.95,-3.3,-2.9,1.3,6.3,6.7
6.2,5.6,5.1,3.1,1.7,2.15,-0.15,0,1.9,6.3,7.2,6.5
6.6,5.6,7,6.3,6.2,6.6,4.55,4.8,4.1,8.3,6.8,6.3
7.1,6.7,8.2,8,8.8,9.95,9.35,8.9,6.6,8.7,8.4,6.8
6.4,5.3,7,8.3,9.2,11.25,10.4,8.8,7.3,9,8.1,6.4
7.2,7.6,10,9.3,10.5,11.85,11.25,10.8,6.6,8.7,8.1,8
