,Temp (deg F),Temp (deg C)
1-Oct-20,78.1,25.60789261
2-Oct-20,77.7,25.39073151
3-Oct-20,77.9,25.49739728
4-Oct-20,76.6,24.76868526
5-Oct-20,76.2,24.55958106
6-Oct-20,76.5,24.70577775
7-Oct-20,76.2,24.56784515
8-Oct-20,74.8,23.7851132
9-Oct-20,74.1,23.38711274
10-Oct-20,74.7,23.72723451
11-Oct-20,74.2,23.46464296
12-Oct-20,73.7,23.18670469
13-Oct-20,74.2,23.42877089
14-Oct-20,74.7,23.69842562
15-Oct-20,74.9,23.832908
16-Oct-20,75.1,23.95656629
17-Oct-20,74.5,23.59389685
18-Oct-20,75.3,24.07548552
19-Oct-20,74.8,23.75997043
20-Oct-20,74.7,23.74452236
21-Oct-20,74.6,23.68731307
22-Oct-20,73.5,23.03844753
23-Oct-20,72.7,22.62978636
24-Oct-20,71.6,22.01831292
25-Oct-20,70.8,21.55526279
26-Oct-20,69.8,21.01007729
27-Oct-20,70.1,21.14614144
28-Oct-20,69.3,20.72998914
29-Oct-20,68.7,20.3912468
30-Oct-20,68.1,20.027952
31-Oct-20,68.2,20.13349001
1-Nov-20,69.8,20.99325336
2-Nov-20,69.4,20.7689019
3-Nov-20,69.6,20.86878915
4-Nov-20,69.9,21.0306855
5-Nov-20,70.6,21.44442056
6-Nov-20,70.4,21.33492603
7-Nov-20,68.9,20.52513347
8-Nov-20,68.1,20.06704065
9-Nov-20,67.1,19.52528145
10-Nov-20,66.4,19.10006258
11-Nov-20,65.8,18.78599471
12-Nov-20,65.1,18.37429051
13-Nov-20,66,18.88852447
14-Nov-20,65.6,18.68713765
15-Nov-20,63.9,17.72035904
16-Nov-20,63.8,17.65260563
17-Nov-20,64.1,17.85493771
18-Nov-20,64.4,17.98604105
19-Nov-20,64.3,17.92334733
20-Nov-20,64.5,18.05534179
21-Nov-20,64.2,17.914915
22-Nov-20,64.1,17.82312498
23-Nov-20,63.5,17.51278509
24-Nov-20,63,17.19966273
25-Nov-20,62.2,16.76448751
26-Nov-20,61.8,16.57636953
27-Nov-20,61.1,16.16641329
28-Nov-20,61,16.12449556
29-Nov-20,60.5,15.81552413
30-Nov-20,60.8,16.00284987
1-Dec-20,59.7,15.40397609
2-Dec-20,59.3,15.17193555
3-Dec-20,59.1,15.06697008
4-Dec-20,60,15.56826833
5-Dec-20,59.4,15.20115208
6-Dec-20,59.4,15.24335727
7-Dec-20,60,15.56258038
8-Dec-20,59.2,15.10911264
9-Dec-20,59,14.97833142
10-Dec-20,58.5,14.74964543
11-Dec-20,58.2,14.57316703
12-Dec-20,58.6,14.79288502
13-Dec-20,58,14.41698756
14-Dec-20,57.6,14.21237743
15-Dec-20,57.2,13.99603367
16-Dec-20,57.5,14.14426716
17-Dec-20,58,14.42934766
18-Dec-20,57.8,14.33756379
19-Dec-20,57.3,14.06765115
20-Dec-20,56.7,13.71696645
21-Dec-20,56.5,13.62125637
22-Dec-20,56.8,13.79501644
23-Dec-20,56.3,13.48226571
24-Dec-20,56,13.32464464
25-Dec-20,56.2,13.42033108
26-Dec-20,57,13.90778258
27-Dec-20,56.2,13.42980807
28-Dec-20,56.3,13.48767912
29-Dec-20,55.8,13.21932569
30-Dec-20,55.4,13.00138091
31-Dec-20,55.9,13.28144814
1-Jan-21,56.8,13.77859827
2-Jan-21,55.9,13.30400918
3-Jan-21,57,13.87309987
4-Jan-21,56.4,13.54840321
5-Jan-21,56.4,13.56057761
6-Jan-21,55.6,13.11778394
7-Jan-21,55.4,13.02518595
8-Jan-21,55.2,12.90881415
9-Jan-21,55.5,13.03011175
10-Jan-21,55.1,12.83640809
11-Jan-21,55.6,13.08459181
12-Jan-21,55.6,13.09123184
13-Jan-21,56.3,13.49947695
14-Jan-21,57.1,13.93688813
15-Jan-21,57,13.87150626
16-Jan-21,57.7,14.29403568
17-Jan-21,58,14.4372482
18-Jan-21,59.4,15.23239909
19-Jan-21,58.4,14.65897021
20-Jan-21,57,13.91476588
21-Jan-21,56,13.34774689
22-Jan-21,56.8,13.75277583
